Date,Description,Amount
2024-01-15,STARBUCKS STORE #1234,-5.67
2024-01-15,SALARY DEPOSIT COMPANY ABC,2500.00
2024-01-16,SAFEWAY GROCERY STORE #456,-87.45
2024-01-17,SHELL GAS STATION,-45.30
2024-01-18,AMAZON.COM PURCHASE,-123.99
2024-01-19,ATM WITHDRAWAL,-100.00
2024-01-20,NETFLIX.COM SUBSCRIPTION,-15.99
2024-01-22,CHIPOTLE MEXICAN GRILL,-12.50
2024-01-23,TARGET STORE #789,-67.89
2024-01-25,UBER RIDE,-18.75
2024-01-26,CVS PHARMACY,-23.45
2024-01-28,ELECTRIC COMPANY BILL,-125.50
2024-01-30,INTEREST PAYMENT,2.15
2024-02-01,RENT PAYMENT,-1200.00
2024-02-02,WHOLE FOODS MARKET,-156.78
2024-02-03,SPOTIFY PREMIUM,-9.99
2024-02-05,MCDONALD'S #567,-8.99
2024-02-07,HOME DEPOT PURCHASE,-89.34
2024-02-10,BANK MAINTENANCE FEE,-12.00
2024-02-12,REFUND FROM STORE,45.67